Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Frequently,462,Sales,8,1,Marketing,1,13,2,Female,82,4,3,Sales Executive,3,Single,7324,2812,1,Y,Yes,10,4,2,80,1,7,3,1,7,7,2,4
32,Yes,Travel_Rarely,156,Research & Development,11,3,Marketing,1,14,1,Male,44,1,1,Laboratory Technician,4,Married,12851,10559,4,Y,Yes,10,4,3,80,1,10,3,3,9,6,6,9
54,No,Travel_Rarely,1138,Sales,14,1,Other,1,15,3,Male,69,4,5,Sales Executive,2,Married,11840,23852,1,Y,No,18,4,2,80,1,37,5,4,11,10,5,2
29,Yes,Travel_Frequently,447,Sales,20,5,Life Sciences,1,16,2,Female,40,1,2,Sales Representative,3,Married,17505,11299,5,Y,Yes,21,4,2,80,3,10,1,2,10,8,3,9
48,No,Travel_Rarely,1160,Human Resources,8,4,Other,1,17,4,Male,89,1,4,Human Resources,2,Married,7763,3645,2,Y,No,22,3,4,80,3,31,6,3,1,1,1,1
50,No,Non-Travel,685,Human Resources,27,4,Medical,1,18,2,Female,60,1,4,Manager,2,Divorced,4538,10903,4,Y,Yes,15,4,2,80,2,32,5,4,16,4,4,8
22,Yes,Travel_Rarely,820,Sales,13,3,Human Resources,1,19,2,Female,68,4,1,Sales Representative,3,Married,2193,14779,9,Y,No,18,3,4,80,1,5,0,4,1,1,1,1
43,No,Non-Travel,770,Human Resources,21,2,Human Resources,1,20,3,Male,57,4,4,Human Resources,4,Married,14422,16899,6,Y,Yes,15,4,3,80,0,22,3,1,15,3,0,5
21,Yes,Non-Travel,1052,Research & Development,20,1,Other,1,21,3,Female,62,2,2,Research Scientist,1,Single,9142,14087,2,Y,No,10,3,1,80,1,1,4,3,1,1,1,1
30,No,Travel_Frequently,1426,Human Resources,26,2,Life Sciences,1,22,4,Male,73,1,5,Manager,3,Divorced,18579,2414,0,Y,Yes,18,4,4,80,0,10,3,2,10,7,5,2
59,No,Travel_Rarely,788,Sales,28,5,Technical Degree,1,23,2,Female,33,4,5,Sales Representative,3,Divorced,14418,18197,3,Y,No,15,3,3,80,2,37,2,3,9,8,3,8
51,No,Travel_Frequently,598,Sales,16,2,Other,1,24,3,Male,69,4,5,Sales Representative,4,Single,15251,23756,7,Y,No,23,4,3,80,1,32,5,3,1,1,1,1
34,No,Non-Travel,706,Research & Development,24,2,Marketing,1,25,2,Male,59,1,2,Healthcare Representative,3,Single,8360,13825,7,Y,No,10,4,1,80,1,14,4,1,14,9,4,2
26,Yes,Travel_Rarely,251,Sales,6,1,Human Resources,1,26,2,Female,36,1,4,Sales Representative,1,Single,18113,6971,0,Y,No,9,4,4,80,3,6,6,2,6,2,1,6
46,Yes,Non-Travel,420,Human Resources,21,4,Marketing,1,27,1,Female,30,3,5,Human Resources,2,Divorced,4459,15386,3,Y,No,19,4,3,80,0,26,5,3,3,3,3,3
32,No,Travel_Frequently,999,Research & Development,5,5,Other,1,28,4,Female,45,3,1,Manufacturing Director,4,Divorced,11457,17358,4,Y,No,14,4,1,80,1,11,3,1,3,1,1,3
19,No,Non-Travel,1400,Research & Development,16,5,Human Resources,1,29,3,Male,92,4,5,Research Director,3,Single,16283,4989,8,Y,No,20,4,1,80,0,2,2,2,2,2,2,2
36,No,Non-Travel,484,Research & Development,25,1,Technical Degree,1,30,1,Female,96,4,3,Research Director,2,Divorced,3776,13854,6,Y,No,24,4,3,80,2,18,2,2,1,1,1,1
49,No,Travel_Frequently,697,Human Resources,14,5,Medical,1,31,2,Male,95,4,3,Human Resources,4,Single,18330,10959,1,Y,Yes,18,4,2,80,0,28,1,4,4,4,1,3
35,No,Non-Travel,486,Research & Development,15,5,Marketing,1,32,1,Female,60,4,3,Research Director,3,Married,12544,20736,8,Y,Yes,17,3,4,80,3,16,3,4,12,6,6,8
20,No,Non-Travel,1376,Research & Development,24,5,Marketing,1,33,3,Male,80,4,1,Manufacturing Director,4,Divorced,13093,23293,2,Y,No,7,4,1,80,3,1,1,1,1,1,1,1
23,Yes,Travel_Rarely,1187,Research & Development,26,1,Technical Degree,1,34,1,Female,82,2,1,Research Director,4,Single,10001,20544,0,Y,Yes,10,3,2,80,0,3,4,4,3,3,3,3
58,No,Non-Travel,507,Research & Development,15,3,Other,1,35,3,Female,79,4,3,Manufacturing Director,3,Married,11899,17833,5,Y,No,8,3,3,80,1,40,6,1,10,7,4,8
54,No,Travel_Frequently,168,Research & Development,7,4,Marketing,1,36,4,Male,76,3,3,Healthcare Representative,2,Divorced,16444,6306,9,Y,No,7,4,2,80,1,34,6,2,5,2,0,5
35,No,Non-Travel,128,Human Resources,5,4,Marketing,1,37,3,Male,63,3,1,Manager,4,Married,14929,19582,3,Y,Yes,8,4,3,80,3,18,5,1,13,9,5,2
57,No,Non-Travel,1200,Research & Development,5,2,Other,1,38,2,Female,47,4,3,Manufacturing Director,4,Divorced,9693,14735,0,Y,No,19,4,1,80,3,35,4,4,10,8,1,2
35,No,Non-Travel,350,Sales,22,3,Medical,1,39,3,Male,88,1,2,Sales Representative,2,Divorced,8219,5003,5,Y,Yes,11,3,2,80,2,17,0,2,12,1,1,5
32,No,Non-Travel,132,Sales,4,5,Life Sciences,1,40,1,Female,52,4,2,Sales Executive,1,Single,12609,10695,0,Y,No,6,3,4,80,2,11,6,4,1,1,1,1
24,No,Travel_Frequently,250,Research & Development,1,2,Human Resources,1,41,2,Female,40,1,3,Healthcare Representative,3,Divorced,16534,12554,0,Y,No,24,3,3,80,3,5,4,4,5,5,1,5
56,No,Non-Travel,740,Human Resources,14,1,Other,1,42,1,Female,62,1,4,Human Resources,1,Single,15984,14265,5,Y,No,9,4,1,80,3,37,0,4,13,7,1,6
53,No,Travel_Rarely,1283,Sales,28,5,Human Resources,1,43,1,Male,94,2,1,Sales Manager,3,Divorced,5394,8971,6,Y,No,9,4,3,80,3,36,6,1,2,2,2,2
45,No,Travel_Rarely,287,Research & Development,1,3,Life Sciences,1,44,3,Male,97,4,3,Research Director,2,Divorced,3004,9049,2,Y,No,17,4,3,80,2,24,5,3,19,7,1,3
54,Yes,Travel_Rarely,1149,Human Resources,22,2,Medical,1,45,4,Male,44,3,1,Human Resources,3,Single,9063,13310,6,Y,Yes,18,3,1,80,2,35,3,2,20,8,6,5
37,No,Travel_Frequently,247,Sales,14,3,Marketing,1,46,1,Male,80,4,1,Sales Executive,3,Single,13605,3386,2,Y,No,18,3,4,80,3,16,5,4,13,9,3,9
43,Yes,Travel_Rarely,910,Sales,28,2,Human Resources,1,47,1,Male,69,2,3,Sales Manager,1,Married,4577,13125,1,Y,Yes,12,4,2,80,0,22,2,3,14,10,6,9
27,Yes,Travel_Rarely,1000,Research & Development,25,2,Human Resources,1,48,1,Female,38,3,2,Research Scientist,3,Single,6946,17365,9,Y,No,19,4,1,80,3,9,3,3,9,9,5,6
41,Yes,Travel_Rarely,226,Human Resources,30,1,Human Resources,1,49,1,Female,87,2,4,Manager,2,Single,6943,5391,9,Y,Yes,15,3,4,80,0,24,4,4,7,6,6,7
36,No,Travel_Rarely,782,Human Resources,4,3,Other,1,50,4,Female,40,3,3,Human Resources,2,Married,6927,21095,8,Y,No,9,4,1,80,0,19,4,3,13,5,4,10
39,No,Non-Travel,381,Human Resources,12,5,Life Sciences,1,51,3,Male,49,1,5,Manager,2,Divorced,9423,4528,4,Y,Yes,14,3,4,80,2,18,1,2,7,6,6,4
57,No,Travel_Frequently,853,Sales,10,4,Life Sciences,1,52,2,Male,86,4,2,Sales Representative,2,Divorced,8357,17128,7,Y,No,14,4,2,80,3,36,0,3,18,4,4,8
53,No,Travel_Rarely,154,Sales,29,5,Life Sciences,1,53,4,Male,83,2,2,Sales Executive,1,Divorced,13455,3745,8,Y,No,17,4,3,80,2,32,0,2,14,2,2,8
59,Yes,Travel_Rarely,1346,Sales,20,2,Life Sciences,1,54,3,Female,97,2,2,Sales Representative,1,Single,19983,15869,0,Y,No,8,4,1,80,3,37,3,2,1,1,1,1
49,No,Non-Travel,838,Research & Development,20,5,Human Resources,1,55,4,Male,38,4,3,Laboratory Technician,1,Divorced,19153,19237,5,Y,Yes,22,3,4,80,3,28,2,3,19,7,2,2
22,No,Travel_Rarely,229,Human Resources,18,1,Human Resources,1,56,2,Female,88,1,2,Manager,1,Single,6418,3211,5,Y,No,14,3,3,80,0,5,4,3,5,5,5,3
52,No,Travel_Frequently,794,Research & Development,11,1,Other,1,57,1,Female,53,3,3,Research Director,4,Married,14669,18259,4,Y,Yes,20,4,1,80,0,30,4,4,12,7,6,8
38,Yes,Non-Travel,662,Sales,23,3,Other,1,58,2,Male,37,3,4,Sales Representative,1,Single,16252,4458,7,Y,Yes,25,4,2,80,3,18,0,4,15,1,1,10
59,No,Travel_Rarely,1430,Research & Development,12,4,Human Resources,1,59,4,Female,65,2,2,Healthcare Representative,4,Married,12301,10179,7,Y,No,8,3,1,80,3,37,6,3,19,3,3,7
31,Yes,Non-Travel,694,Research & Development,29,4,Medical,1,60,2,Female,68,3,1,Laboratory Technician,1,Divorced,19765,7161,7,Y,No,25,3,2,80,3,9,1,2,9,6,1,9
53,No,Travel_Rarely,1415,Human Resources,23,5,Medical,1,61,2,Female,39,2,1,Human Resources,2,Married,12388,16744,7,Y,Yes,19,4,4,80,2,35,6,1,14,7,1,3
37,No,Non-Travel,291,Research & Development,9,3,Other,1,62,3,Male,94,2,5,Research Director,1,Single,19481,23003,3,Y,No,10,3,1,80,2,20,0,1,18,5,2,5
54,No,Non-Travel,951,Human Resources,26,1,Technical Degree,1,63,3,Female,91,2,3,Manager,3,Divorced,16404,17218,6,Y,No,11,4,3,80,3,34,1,4,15,2,0,3
24,No,Non-Travel,1283,Sales,2,4,Life Sciences,1,64,4,Female,70,4,2,Sales Representative,3,Single,12729,8220,4,Y,No,10,4,4,80,1,5,0,1,5,5,3,3
33,No,Travel_Rarely,849,Research & Development,18,3,Life Sciences,1,65,3,Male,35,3,4,Research Director,1,Divorced,15213,15126,0,Y,No,6,3,4,80,3,11,6,4,11,3,3,6
57,No,Non-Travel,380,Sales,7,1,Technical Degree,1,66,2,Male,72,2,5,Sales Representative,3,Single,3275,17523,9,Y,No,21,4,3,80,2,39,3,2,13,9,0,1
50,Yes,Travel_Frequently,205,Sales,4,5,Marketing,1,67,2,Female,91,2,3,Sales Executive,1,Divorced,9456,7587,6,Y,No,21,4,1,80,2,32,0,2,10,1,1,5
27,Yes,Travel_Frequently,1041,Human Resources,7,2,Technical Degree,1,68,4,Female,98,3,1,Manager,2,Divorced,7674,13217,8,Y,No,22,4,2,80,1,7,4,3,7,7,6,6
37,No,Travel_Rarely,399,Human Resources,18,2,Other,1,69,4,Female,67,3,3,Manager,3,Divorced,13309,3378,4,Y,No,14,3,4,80,3,17,1,2,4,4,4,4
35,Yes,Travel_Frequently,1067,Human Resources,29,5,Other,1,70,4,Male,42,2,2,Human Resources,4,Single,12823,24321,8,Y,No,9,3,4,80,0,14,6,2,8,1,1,7
59,Yes,Non-Travel,711,Human Resources,30,5,Medical,1,71,2,Male,43,4,2,Human Resources,4,Single,2303,12978,0,Y,Yes,14,4,3,80,3,40,6,2,16,3,3,1
47,No,Non-Travel,478,Human Resources,20,2,Life Sciences,1,72,3,Female,47,1,3,Manager,4,Divorced,5125,17645,6,Y,No,15,3,2,80,1,28,6,4,17,6,1,7
37,No,Travel_Rarely,1358,Research & Development,6,3,Other,1,73,4,Male,58,2,1,Research Scientist,3,Married,14043,9180,6,Y,Yes,9,4,4,80,3,20,6,4,17,5,1,5
56,No,Non-Travel,1165,Human Resources,27,4,Human Resources,1,74,4,Male,86,1,1,Manager,1,Divorced,12751,5808,8,Y,No,11,4,4,80,0,38,4,2,7,7,2,3
21,No,Travel_Frequently,223,Research & Development,7,3,Other,1,75,2,Female,38,4,3,Manufacturing Director,2,Divorced,19732,17468,9,Y,No,6,4,4,80,0,1,3,3,1,1,1,1
42,No,Travel_Frequently,1479,Human Resources,13,5,Medical,1,76,2,Female,99,2,1,Manager,4,Single,17171,15897,8,Y,Yes,22,4,3,80,1,21,2,2,8,1,0,5
25,No,Non-Travel,998,Research & Development,20,4,Human Resources,1,77,3,Male,59,2,2,Laboratory Technician,2,Divorced,15181,19686,0,Y,No,11,3,3,80,0,6,1,3,6,1,1,1
60,No,Travel_Frequently,752,Research & Development,22,3,Marketing,1,78,2,Male,83,4,5,Healthcare Representative,4,Married,19185,15377,6,Y,Yes,9,4,2,80,1,42,2,2,16,1,1,7
21,No,Non-Travel,872,Research & Development,11,5,Human Resources,1,79,2,Female,35,4,2,Manufacturing Director,3,Married,10796,4384,1,Y,Yes,11,3,3,80,2,2,1,1,2,2,2,1
25,No,Travel_Rarely,1118,Research & Development,13,5,Other,1,80,3,Female,89,2,2,Manufacturing Director,3,Single,18803,5231,7,Y,Yes,20,4,4,80,2,7,4,1,7,5,4,6
19,No,Non-Travel,627,Human Resources,11,5,Human Resources,1,81,3,Female,92,2,3,Manager,2,Divorced,13061,23027,3,Y,Yes,20,4,2,80,1,1,1,4,1,1,1,1
22,Yes,Non-Travel,113,Human Resources,7,4,Medical,1,82,3,Male,98,1,1,Human Resources,3,Single,2515,20076,8,Y,Yes,18,3,1,80,1,3,6,4,3,1,1,3
24,No,Travel_Rarely,1500,Human Resources,3,2,Human Resources,1,83,4,Male,40,1,3,Manager,4,Single,11829,23421,5,Y,Yes,25,3,4,80,2,5,0,4,5,5,3,4
23,No,Non-Travel,1254,Research & Development,29,3,Human Resources,1,84,2,Female,34,2,1,Healthcare Representative,4,Married,19794,7877,9,Y,Yes,15,3,1,80,1,4,1,3,4,1,1,4
42,No,Non-Travel,1398,Human Resources,4,2,Other,1,85,4,Female,64,3,5,Human Resources,4,Married,2970,16763,6,Y,No,20,3,2,80,2,21,0,4,3,3,3,3
22,Yes,Travel_Rarely,371,Human Resources,4,2,Technical Degree,1,86,1,Male,41,4,4,Human Resources,1,Married,5349,8140,1,Y,Yes,18,4,1,80,2,1,4,3,1,1,1,1
38,No,Travel_Frequently,649,Sales,17,3,Technical Degree,1,87,3,Female,93,4,5,Sales Executive,4,Single,11867,6781,2,Y,Yes,7,3,3,80,1,21,6,4,13,3,2,5
33,No,Non-Travel,1433,Sales,13,5,Medical,1,88,3,Female,47,4,2,Sales Executive,2,Divorced,16110,11844,5,Y,No,15,3,4,80,2,15,2,3,13,6,6,6
33,Yes,Travel_Frequently,696,Sales,18,3,Technical Degree,1,89,2,Female,38,3,5,Sales Executive,3,Married,16367,15406,2,Y,No,20,3,2,80,1,16,6,4,16,1,1,4
56,No,Travel_Rarely,1425,Human Resources,23,4,Human Resources,1,90,4,Female,35,3,5,Manager,1,Divorced,7450,20455,8,Y,Yes,25,4,1,80,0,38,2,1,3,2,2,3
51,No,Travel_Rarely,813,Sales,1,3,Technical Degree,1,91,3,Male,69,4,5,Sales Manager,4,Married,6642,13241,7,Y,No,19,3,1,80,1,29,5,4,10,7,1,2
37,No,Travel_Frequently,1046,Sales,8,1,Life Sciences,1,92,4,Male,59,2,1,Sales Manager,4,Divorced,15971,15272,8,Y,No,25,3,1,80,1,16,3,2,16,3,3,9
31,Yes,Travel_Rarely,1351,Research & Development,7,1,Human Resources,1,93,4,Male,80,3,2,Healthcare Representative,2,Married,14734,21234,7,Y,Yes,8,4,3,80,2,9,5,1,9,8,5,9
33,No,Travel_Rarely,1421,Human Resources,20,2,Marketing,1,94,2,Female,52,3,5,Human Resources,2,Single,19608,20183,2,Y,Yes,10,4,3,80,3,15,4,4,13,7,2,8
18,No,Travel_Rarely,166,Human Resources,23,2,Technical Degree,1,95,4,Female,65,2,4,Manager,4,Single,11571,9367,7,Y,No,22,4,1,80,3,1,2,1,1,1,0,1
20,Yes,Travel_Rarely,1349,Research & Development,9,2,Technical Degree,1,96,2,Female,84,2,3,Laboratory Technician,1,Divorced,13489,7438,5,Y,Yes,24,3,3,80,0,1,4,3,1,1,1,1
36,No,Non-Travel,1484,Human Resources,9,3,Human Resources,1,97,4,Female,80,4,2,Human Resources,4,Divorced,10111,18038,2,Y,No,9,4,1,80,3,19,3,1,5,4,2,5
41,Yes,Non-Travel,761,Research & Development,26,3,Human Resources,1,98,3,Female,66,4,4,Research Scientist,1,Married,10799,13067,8,Y,No,22,3,1,80,2,22,5,1,7,7,3,7
28,No,Travel_Rarely,1381,Research & Development,3,1,Technical Degree,1,99,1,Female,69,1,3,Laboratory Technician,1,Married,14987,24919,5,Y,Yes,12,4,2,80,1,8,0,4,3,3,2,1
51,No,Travel_Rarely,712,Sales,3,1,Other,1,100,1,Female,47,1,4,Sales Executive,2,Single,14044,14541,3,Y,Yes,9,3,4,80,1,32,5,3,3,2,1,3
27,No,Travel_Frequently,1420,Research & Development,24,4,Medical,1,101,3,Female,40,1,2,Research Scientist,2,Divorced,11075,10131,6,Y,Yes,22,4,2,80,0,7,2,4,7,6,2,4
33,No,Travel_Frequently,848,Sales,29,1,Medical,1,102,1,Female,99,1,5,Sales Manager,1,Married,15790,24378,0,Y,Yes,10,4,1,80,0,13,1,3,11,3,3,10
43,Yes,Travel_Frequently,1147,Sales,18,5,Technical Degree,1,103,1,Female,56,4,4,Sales Manager,3,Divorced,4589,7091,8,Y,Yes,22,4,4,80,0,25,0,2,5,5,1,5
45,Yes,Non-Travel,1159,Research & Development,23,5,Human Resources,1,104,1,Male,63,3,2,Research Director,1,Married,19137,7471,2,Y,Yes,16,3,3,80,0,28,2,4,1,1,1,1
54,Yes,Travel_Rarely,190,Sales,6,4,Human Resources,1,105,4,Male,31,3,4,Sales Executive,2,Married,2084,10013,4,Y,No,6,4,2,80,1,32,4,1,19,2,2,9
33,No,Travel_Frequently,1052,Research & Development,22,3,Marketing,1,106,1,Female,66,4,3,Healthcare Representative,3,Divorced,4258,12180,0,Y,No,15,3,2,80,0,12,4,3,8,8,0,7
33,Yes,Non-Travel,102,Research & Development,30,5,Technical Degree,1,107,4,Female,78,2,2,Healthcare Representative,4,Married,12977,12076,6,Y,No,8,3,1,80,1,11,5,2,8,8,5,1
32,Yes,Travel_Frequently,584,Human Resources,5,3,Technical Degree,1,108,3,Female,67,3,5,Human Resources,4,Divorced,6283,10552,6,Y,Yes,15,4,3,80,0,10,0,2,10,10,0,7
55,No,Non-Travel,285,Sales,18,1,Medical,1,109,3,Male,50,2,3,Sales Representative,2,Single,5929,24480,5,Y,No,14,3,1,80,3,34,2,2,15,5,5,5
37,No,Non-Travel,505,Sales,15,1,Technical Degree,1,110,1,Female,81,3,5,Sales Manager,1,Single,6283,14197,1,Y,No,25,3,1,80,1,16,5,2,4,1,0,4
23,Yes,Travel_Frequently,483,Research & Development,13,1,Technical Degree,1,111,2,Female,65,1,5,Laboratory Technician,3,Single,9035,11170,7,Y,No,19,3,4,80,3,1,4,4,1,1,1,1
35,Yes,Travel_Rarely,758,Human Resources,26,4,Medical,1,112,2,Female,79,3,5,Human Resources,1,Single,18462,10861,5,Y,No,10,3,3,80,0,16,6,1,16,8,5,10
55,Yes,Non-Travel,834,Human Resources,19,1,Medical,1,113,4,Male,33,2,3,Human Resources,3,Single,12420,24955,6,Y,Yes,16,3,2,80,0,35,0,4,6,3,3,6
56,No,Non-Travel,327,Research & Development,11,5,Technical Degree,1,114,1,Male,97,4,5,Research Director,3,Single,6641,13956,2,Y,Yes,7,4,3,80,1,36,1,3,2,1,1,2
45,Yes,Travel_Rarely,472,Human Resources,10,3,Medical,1,115,2,Female,70,4,2,Manager,3,Divorced,3061,22033,4,Y,No,12,3,1,80,1,24,2,2,6,1,1,6
23,No,Travel_Rarely,440,Research & Development,26,1,Marketing,1,116,1,Female,82,4,1,Laboratory Technician,4,Married,15751,18157,1,Y,Yes,17,4,2,80,2,6,3,2,1,1,1,1
20,No,Travel_Rarely,1438,Research & Development,6,3,Marketing,1,117,1,Female,51,1,3,Research Scientist,3,Single,16133,21900,1,Y,No,18,3,2,80,1,2,3,2,2,2,2,1
37,No,Travel_Rarely,152,Human Resources,1,1,Technical Degree,1,118,4,Male,56,1,2,Manager,1,Single,5178,7597,6,Y,No,25,4,3,80,0,15,3,4,10,10,7,4
34,No,Non-Travel,1255,Research & Development,15,5,Technical Degree,1,119,4,Male,37,3,4,Research Director,2,Divorced,10800,6952,0,Y,No,8,3,1,80,2,14,6,4,14,8,4,4
48,No,Non-Travel,967,Sales,25,3,Life Sciences,1,120,3,Male,40,2,1,Sales Manager,3,Married,3398,24384,7,Y,No,18,3,1,80,1,27,3,1,6,4,3,3
35,No,Non-Travel,685,Human Resources,5,5,Human Resources,1,121,4,Female,98,4,1,Manager,4,Single,5309,13267,9,Y,No,18,4,1,80,3,17,2,2,17,2,1,10
56,No,Travel_Rarely,301,Human Resources,29,4,Marketing,1,122,3,Female,59,3,1,Human Resources,4,Single,18109,6403,5,Y,Yes,14,4,1,80,3,34,3,2,11,5,4,5
44,No,Travel_Frequently,511,Human Resources,17,3,Life Sciences,1,123,3,Female,37,1,1,Human Resources,2,Divorced,8316,10175,6,Y,No,6,4,3,80,2,23,6,3,17,10,0,3
58,No,Non-Travel,285,Sales,28,1,Medical,1,124,2,Male,66,2,5,Sales Representative,2,Divorced,10475,2899,7,Y,No,17,3,2,80,3,40,2,2,18,6,5,3
18,Yes,Travel_Frequently,1055,Research & Development,23,2,Human Resources,1,125,1,Female,68,1,3,Laboratory Technician,3,Single,9150,24190,4,Y,Yes,21,4,3,80,2,1,5,3,1,1,1,1
39,No,Non-Travel,1442,Sales,17,3,Marketing,1,126,4,Female,93,4,3,Sales Manager,1,Divorced,2834,11686,3,Y,Yes,13,4,2,80,1,17,5,3,17,7,5,3
58,No,Travel_Rarely,555,Sales,4,3,Human Resources,1,127,3,Female,75,3,5,Sales Executive,3,Divorced,4926,9318,7,Y,Yes,14,4,3,80,1,37,6,4,9,9,2,6
58,Yes,Travel_Rarely,393,Research & Development,2,2,Human Resources,1,128,2,Male,70,3,5,Manufacturing Director,3,Married,16993,7909,2,Y,No,7,4,1,80,2,37,3,1,7,6,6,7
28,No,Travel_Rarely,759,Human Resources,16,1,Medical,1,129,2,Male,97,2,4,Manager,3,Married,2461,8244,6,Y,No,5,3,3,80,3,6,0,2,2,2,2,2
37,No,Travel_Rarely,139,Sales,29,1,Marketing,1,130,2,Male,59,1,5,Sales Representative,1,Single,15218,9350,2,Y,No,9,3,3,80,2,17,3,1,16,6,3,3
57,No,Travel_Rarely,1390,Research & Development,15,1,Other,1,131,2,Male,31,3,1,Research Scientist,4,Divorced,8733,11866,6,Y,Yes,18,3,1,80,0,35,2,1,18,5,5,3
49,Yes,Travel_Rarely,105,Human Resources,6,2,Marketing,1,132,2,Male,31,4,3,Human Resources,1,Divorced,9684,24008,0,Y,Yes,7,3,1,80,3,31,2,1,16,4,4,6
36,No,Travel_Frequently,1458,Research & Development,11,1,Life Sciences,1,133,1,Female,51,3,3,Research Scientist,3,Married,6534,12769,6,Y,No,16,4,3,80,2,19,0,2,4,2,0,1
47,Yes,Travel_Frequently,471,Human Resources,24,4,Technical Degree,1,134,4,Female,78,2,1,Human Resources,4,Married,16357,13750,0,Y,Yes,24,3,1,80,1,26,3,4,4,4,4,4
59,Yes,Travel_Rarely,123,Human Resources,22,5,Other,1,135,1,Female,50,2,3,Human Resources,4,Single,3788,18566,3,Y,No,20,4,3,80,0,40,2,2,12,7,2,9
32,No,Non-Travel,926,Sales,28,2,Life Sciences,1,136,3,Female,82,1,5,Sales Representative,2,Married,5363,3174,7,Y,Yes,22,3,4,80,3,13,2,3,11,2,2,1
47,No,Non-Travel,865,Sales,4,5,Human Resources,1,137,4,Female,43,2,3,Sales Manager,1,Divorced,19104,3500,3,Y,Yes,10,4,3,80,3,25,1,2,11,6,4,9
43,No,Travel_Frequently,1186,Sales,27,2,Other,1,138,2,Male,36,2,4,Sales Executive,2,Married,2142,20128,9,Y,No,18,4,1,80,0,21,5,4,15,8,2,8
42,No,Non-Travel,511,Sales,5,2,Marketing,1,139,2,Female,56,2,3,Sales Representative,3,Divorced,9121,22452,6,Y,No,14,4,1,80,3,24,4,3,17,5,5,9
60,No,Non-Travel,1499,Sales,13,5,Marketing,1,140,1,Female,62,2,5,Sales Executive,3,Divorced,11391,6798,2,Y,Yes,6,4,4,80,0,38,4,1,2,2,2,2
53,No,Travel_Rarely,561,Sales,14,5,Other,1,141,3,Female,77,2,1,Sales Manager,4,Single,16518,21280,5,Y,Yes,22,3,2,80,3,35,1,1,2,1,1,2
